county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct
Small-Rural Counties,2022/23,NSMHS,28422.0,3.39
Small-Rural Counties,2022/23,SMHS,16062.0,3.39
Solano,2019/20,NSMHS,27921.0,
Solano,2019/20,SMHS,9170.0,
Solano,2020/21,NSMHS,29869.0,4.89
Solano,2020/21,SMHS,9035.0,4.89
Solano,2021/22,NSMHS,29982.0,0.75
Solano,2021/22,SMHS,9214.0,0.75
Solano,2022/23,NSMHS,31269.0,3.1
Solano,2022/23,SMHS,9141.0,3.1
Sonoma,2019/20,NSMHS,36811.0,
Sonoma,2019/20,SMHS,7466.0,
Sonoma,2020/21,NSMHS,35365.0,-2.74
Sonoma,2020/21,SMHS,7700.0,-2.74
Sonoma,2021/22,NSMHS,38082.0,6.14
Sonoma,2021/22,SMHS,7627.0,6.14
Sonoma,2022/23,NSMHS,41418.0,7.41
Sonoma,2022/23,SMHS,7678.0,7.41
Stanislaus,2019/20,NSMHS,48150.0,
Stanislaus,2019/20,SMHS,13392.0,
Stanislaus,2020/21,NSMHS,47271.0,-1.69
Stanislaus,2020/21,SMHS,13233.0,-1.69
Stanislaus,2021/22,NSMHS,46013.0,-3.45
Stanislaus,2021/22,SMHS,12402.0,-3.45
Stanislaus,2022/23,NSMHS,53873.0,14.34
Stanislaus,2022/23,SMHS,12918.0,14.34
Sutter,2019/20,NSMHS,6154.0,
Sutter,2019/20,SMHS,3305.0,
Sutter,2020/21,NSMHS,6530.0,3.47
Sutter,2020/21,SMHS,3257.0,3.47
Sutter,2021/22,NSMHS,6993.0,3.29
Sutter,2021/22,SMHS,3116.0,3.29
Sutter,2022/23,NSMHS,7606.0,6.1
Sutter,2022/23,SMHS,3120.0,6.1
Tehama,2019/20,NSMHS,6810.0,
Tehama,2019/20,SMHS,2268.0,
Tehama,2020/21,NSMHS,6692.0,-5.32
Tehama,2020/21,SMHS,1903.0,-5.32
Tehama,2021/22,NSMHS,6261.0,-7.59
Tehama,2021/22,SMHS,1682.0,-7.59
Tehama,2022/23,NSMHS,7702.0,8.35
Tehama,2022/23,SMHS,904.0,8.35
Trinity,2019/20,NSMHS,1001.0,
Trinity,2019/20,SMHS,561.0,
Trinity,2020/21,NSMHS,1191.0,14.08
Trinity,2020/21,SMHS,591.0,14.08
Trinity,2021/22,NSMHS,1229.0,0.45
Trinity,2021/22,SMHS,561.0,0.45
Trinity,2022/23,NSMHS,1342.0,7.88
Trinity,2022/23,SMHS,589.0,7.88
Tulare,2019/20,NSMHS,41255.0,
Tulare,2019/20,SMHS,12293.0,
Tulare,2020/21,NSMHS,40251.0,0.73
Tulare,2020/21,SMHS,13687.0,0.73
Tulare,2021/22,NSMHS,41538.0,4.93
Tulare,2021/22,SMHS,15060.0,4.93
Tulare,2022/23,NSMHS,45930.0,9.99
Tulare,2022/23,SMHS,16320.0,9.99
Tuolumne,2019/20,NSMHS,4572.0,
Tuolumne,2019/20,SMHS,1963.0,
Tuolumne,2020/21,NSMHS,4701.0,-0.73
Tuolumne,2020/21,SMHS,1786.0,-0.73
Tuolumne,2021/22,NSMHS,5033.0,3.93
Tuolumne,2021/22,SMHS,1709.0,3.93
Tuolumne,2022/23,NSMHS,4616.0,2.36
Tuolumne,2022/23,SMHS,2285.0,2.36
Ventura,2019/20,NSMHS,44449.0,
Ventura,2019/20,SMHS,20505.0,
Ventura,2020/21,NSMHS,48674.0,7.91
Ventura,2020/21,SMHS,21421.0,7.91
Ventura,2021/22,NSMHS,51351.0,4.58
Ventura,2021/22,SMHS,21954.0,4.58
Ventura,2022/23,NSMHS,56572.0,8.99
Ventura,2022/23,SMHS,23323.0,8.99
Yolo,2019/20,NSMHS,15168.0,
Yolo,2019/20,SMHS,3240.0,
Yolo,2020/21,NSMHS,15087.0,-1.43
Yolo,2020/21,SMHS,3057.0,-1.43
Yolo,2021/22,NSMHS,15484.0,4.22
Yolo,2021/22,SMHS,3426.0,4.22
Yolo,2022/23,NSMHS,15643.0,3.26
Yolo,2022/23,SMHS,3884.0,3.26
Yuba,2019/20,NSMHS,6691.0,
Yuba,2019/20,SMHS,3110.0,
Yuba,2020/21,NSMHS,6443.0,-4.08
Yuba,2020/21,SMHS,2958.0,-4.08
Yuba,2021/22,NSMHS,7016.0,6.22
Yuba,2021/22,SMHS,2970.0,6.22
Yuba,2022/23,NSMHS,8029.0,8.82
Yuba,2022/23,SMHS,2838.0,8.82
Alameda,2019/20,Total,105662.0,
Alameda,2020/21,Total,107033.0,1.3
Alameda,2021/22,Total,108214.0,1.1
Alameda,2022/23,Total,113715.0,5.08
Alpine,2019/20,Total,14.0,
Alpine,2020/21,Total,13.0,-7.14
Alpine,2021/22,Total,29.0,123.08
Alpine,2022/23,Total,12.0,-58.62
Amador,2019/20,Total,3182.0,
Amador,2020/21,Total,3253.0,2.23
Amador,2021/22,Total,3690.0,13.43
Amador,2022/23,Total,3825.0,3.66
Butte,2019/20,Total,33266.0,
Butte,2020/21,Total,34357.0,3.28
Butte,2021/22,Total,33055.0,-3.79
Butte,2022/23,Total,33126.0,0.21
Calaveras,2019/20,Total,4234.0,
Calaveras,2020/21,Total,4649.0,9.8
Calaveras,2021/22,Total,4676.0,0.58
Calaveras,2022/23,Total,4871.0,4.17
Colusa,2019/20,Total,1801.0,
Colusa,2020/21,Total,2091.0,16.1
Colusa,2021/22,Total,2259.0,8.03
Colusa,2022/23,Total,3312.0,46.61
Contra Costa,2019/20,Total,62920.0,
Contra Costa,2020/21,Total,67013.0,6.51
Contra Costa,2021/22,Total,74677.0,11.44
Contra Costa,2022/23,Total,77196.0,3.37
Del Norte,2019/20,Total,5257.0,
Del Norte,2020/21,Total,5331.0,1.41
Del Norte,2021/22,Total,5113.0,-4.09
Del Norte,2022/23,Total,4925.0,-3.68
El Dorado,2019/20,Total,13175.0,
El Dorado,2020/21,Total,13461.0,2.17
El Dorado,2021/22,Total,13080.0,-2.83
El Dorado,2022/23,Total,13475.0,3.02
Fresno,2019/20,Total,104867.0,
Fresno,2020/21,Total,112249.0,7.04
Fresno,2021/22,Total,109553.0,-2.4
Fresno,2022/23,Total,112841.0,3.0
Glenn,2019/20,Total,3612.0,
Glenn,2020/21,Total,3716.0,2.88
Glenn,2021/22,Total,3563.0,-4.12
Glenn,2022/23,Total,3744.0,5.08
Humboldt,2019/20,Total,24684.0,
Humboldt,2020/21,Total,27740.0,12.38
Humboldt,2021/22,Total,28161.0,1.52
Humboldt,2022/23,Total,29098.0,3.33
Imperial,2019/20,Total,22358.0,
Imperial,2020/21,Total,22862.0,2.25
Imperial,2021/22,Total,24073.0,5.3
Imperial,2022/23,Total,25530.0,6.05
Inyo,2019/20,Total,1780.0,
Inyo,2020/21,Total,1937.0,8.82
Inyo,2021/22,Total,1685.0,-13.01
