county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct
Inyo,2022/23,Total,1811.0,7.48
Kern,2019/20,Total,102218.0,
Kern,2020/21,Total,109745.0,7.36
Kern,2021/22,Total,119425.0,8.82
Kern,2022/23,Total,133737.0,11.98
Kings,2019/20,Total,16153.0,
Kings,2020/21,Total,15576.0,-3.57
Kings,2021/22,Total,15303.0,-1.75
Kings,2022/23,Total,15890.0,3.84
Lake,2019/20,Total,12275.0,
Lake,2020/21,Total,12783.0,4.14
Lake,2021/22,Total,13585.0,6.27
Lake,2022/23,Total,14214.0,4.63
Lassen,2019/20,Total,3482.0,
Lassen,2020/21,Total,3793.0,8.93
Lassen,2021/22,Total,3430.0,-9.57
Lassen,2022/23,Total,3668.0,6.94
Los Angeles,2019/20,Total,869774.0,
Los Angeles,2020/21,Total,887901.0,2.08
Los Angeles,2021/22,Total,932253.0,5.0
Los Angeles,2022/23,Total,1048610.0,12.48
Madera,2019/20,Total,15983.0,
Madera,2020/21,Total,27827.0,74.1
Madera,2021/22,Total,21389.0,-23.14
Madera,2022/23,Total,24346.0,13.82
Marin,2019/20,Total,18287.0,
Marin,2020/21,Total,19804.0,8.3
Marin,2021/22,Total,22548.0,13.86
Marin,2022/23,Total,21669.0,-3.9
Mariposa,2019/20,Total,2445.0,
Mariposa,2020/21,Total,2413.0,-1.31
Mariposa,2021/22,Total,2412.0,-0.04
Mariposa,2022/23,Total,2375.0,-1.53
Mendocino,2019/20,Total,18242.0,
Mendocino,2020/21,Total,17120.0,-6.15
Mendocino,2021/22,Total,17783.0,3.87
Mendocino,2022/23,Total,18904.0,6.3
Merced,2019/20,Total,29086.0,
Merced,2020/21,Total,30691.0,5.52
Merced,2021/22,Total,31526.0,2.72
Merced,2022/23,Total,34853.0,10.55
Modoc,2019/20,Total,1661.0,
Modoc,2020/21,Total,1572.0,-5.36
Modoc,2021/22,Total,1539.0,-2.1
Modoc,2022/23,Total,1644.0,6.82
Mono,2019/20,Total,805.0,
Mono,2020/21,Total,883.0,9.69
Mono,2021/22,Total,1007.0,14.04
