county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct,dominant_sex,dominant_race,dominant_age_group
Los Angeles,2021/22,Total,932253.0,5.0,Female,Hispanic,21-32
Los Angeles,2022/23,Total,1048610.0,12.48,Female,Hispanic,21-32
Madera,2019/20,Total,15983.0,,Female,Hispanic,21-32
Madera,2020/21,Total,27827.0,74.1,Female,Hispanic,21-32
Madera,2021/22,Total,21389.0,-23.14,Female,Hispanic,21-32
Madera,2022/23,Total,24346.0,13.82,Female,Hispanic,21-32
Marin,2019/20,Total,18287.0,,Female,White,21-32
Marin,2020/21,Total,19804.0,8.3,Female,White,21-32
Marin,2021/22,Total,22548.0,13.86,Female,White,21-32
Marin,2022/23,Total,21669.0,-3.9,Female,White,21-32
Mariposa,2019/20,Total,2445.0,,Female,White,33-44
Mariposa,2020/21,Total,2413.0,-1.31,Female,White,33-44
Mariposa,2021/22,Total,2412.0,-0.04,Female,White,33-44
Mariposa,2022/23,Total,2375.0,-1.53,Female,White,33-44
Mendocino,2019/20,Total,18242.0,,Female,White,21-32
Mendocino,2020/21,Total,17120.0,-6.15,Female,White,21-32
Mendocino,2021/22,Total,17783.0,3.87,Female,White,21-32
Mendocino,2022/23,Total,18904.0,6.3,Female,White,21-32
Merced,2019/20,Total,29086.0,,Female,Hispanic,21-32
Merced,2020/21,Total,30691.0,5.52,Female,Hispanic,21-32
Merced,2021/22,Total,31526.0,2.72,Female,Hispanic,21-32
Merced,2022/23,Total,34853.0,10.55,Female,Hispanic,21-32
Modoc,2019/20,Total,1661.0,,Female,White,45-56
Modoc,2020/21,Total,1572.0,-5.36,Female,White,45-56
Modoc,2021/22,Total,1539.0,-2.1,Female,White,45-56
Modoc,2022/23,Total,1644.0,6.82,Female,White,45-56
Mono,2019/20,Total,805.0,,Female,White,21-32
Mono,2020/21,Total,883.0,9.69,Female,White,21-32
Mono,2021/22,Total,1007.0,14.04,Female,White,21-32
Mono,2022/23,Total,923.0,-8.34,Female,White,21-32
Monterey,2019/20,Total,41373.0,,Female,Hispanic,21-32
Monterey,2020/21,Total,42312.0,2.27,Female,Hispanic,21-32
Monterey,2021/22,Total,42409.0,0.23,Female,Hispanic,21-32
Monterey,2022/23,Total,46614.0,9.92,Female,Hispanic,21-32
Napa,2019/20,Total,9727.0,,Female,White,21-32
Napa,2020/21,Total,9720.0,-0.07,Female,White,21-32
Napa,2021/22,Total,10700.0,10.08,Female,White,21-32
Napa,2022/23,Total,11141.0,4.12,Female,White,21-32
Nevada,2019/20,Total,12173.0,,Female,White,33-44
Nevada,2020/21,Total,13470.0,10.65,Female,White,33-44
Nevada,2021/22,Total,13672.0,1.5,Female,White,33-44
Nevada,2022/23,Total,15763.0,15.29,Female,White,33-44
Orange,2019/20,Total,223645.0,,Female,White,21-32
Orange,2020/21,Total,213989.0,-4.32,Female,White,21-32
Orange,2021/22,Total,235876.0,10.23,Female,White,21-32
Orange,2022/23,Total,269906.0,14.43,Female,White,21-32
Placer,2019/20,Total,21013.0,,Female,White,21-32
Placer,2020/21,Total,22431.0,6.75,Female,White,21-32
Placer,2021/22,Total,22611.0,0.8,Female,White,21-32
Placer,2022/23,Total,24245.0,7.23,Female,White,21-32
Plumas,2019/20,Total,2555.0,,Female,White,21-32
Plumas,2020/21,Total,2291.0,-10.33,Female,White,21-32
Plumas,2021/22,Total,2437.0,6.37,Female,White,21-32
Plumas,2022/23,Total,2243.0,-7.96,Female,White,21-32
Riverside,2019/20,Total,222291.0,,Female,Hispanic,21-32
Riverside,2020/21,Total,235176.0,5.8,Female,Hispanic,21-32
Riverside,2021/22,Total,260824.0,10.91,Female,Hispanic,21-32
Riverside,2022/23,Total,307566.0,17.92,Female,Hispanic,21-32
Sacramento,2019/20,Total,159924.0,,Female,White,21-32
Sacramento,2020/21,Total,165374.0,3.41,Female,White,21-32
Sacramento,2021/22,Total,163466.0,-1.15,Female,White,21-32
Sacramento,2022/23,Total,172900.0,5.77,Female,White,21-32
San Benito,2019/20,Total,3312.0,,Female,Hispanic,21-32
San Benito,2020/21,Total,3526.0,6.46,Female,Hispanic,21-32
San Benito,2021/22,Total,3508.0,-0.51,Female,Hispanic,21-32
San Benito,2022/23,Total,3722.0,6.1,Female,Hispanic,21-32
San Bernardino,2019/20,Total,223440.0,,Female,Hispanic,21-32
San Bernardino,2020/21,Total,228395.0,2.22,Female,Hispanic,21-32
San Bernardino,2021/22,Total,249308.0,9.16,Female,Hispanic,21-32
San Bernardino,2022/23,Total,289218.0,16.01,Female,Hispanic,21-32
San Diego,2019/20,Total,322904.0,,Female,White,21-32
San Diego,2020/21,Total,321494.0,-0.44,Female,White,21-32
San Diego,2021/22,Total,343384.0,6.81,Female,White,21-32
San Diego,2022/23,Total,386702.0,12.62,Female,White,21-32
San Francisco,2019/20,Total,69799.0,,Male,Other,33-44
San Francisco,2020/21,Total,71446.0,2.36,Male,Other,33-44
San Francisco,2021/22,Total,72589.0,1.6,Male,Other,33-44
San Francisco,2022/23,Total,75540.0,4.07,Male,Other,33-44
San Joaquin,2019/20,Total,100206.0,,Female,Hispanic,21-32
San Joaquin,2020/21,Total,104167.0,3.95,Female,Hispanic,21-32
San Joaquin,2021/22,Total,100575.0,-3.45,Female,Hispanic,21-32
San Joaquin,2022/23,Total,114433.0,13.78,Female,Hispanic,21-32
San Luis Obispo,2019/20,Total,27558.0,,Female,White,21-32
San Luis Obispo,2020/21,Total,31309.0,13.61,Female,White,21-32
San Luis Obispo,2021/22,Total,30446.0,-2.76,Female,White,21-32
San Luis Obispo,2022/23,Total,33690.0,10.65,Female,White,21-32
San Mateo,2019/20,Total,46908.0,,Female,Hispanic,21-32
San Mateo,2020/21,Total,45474.0,-3.06,Female,Hispanic,21-32
San Mateo,2021/22,Total,48081.0,5.73,Female,Hispanic,21-32
San Mateo,2022/23,Total,51861.0,7.86,Female,Hispanic,21-32
Santa Barbara,2019/20,Total,39639.0,,Female,White,21-32
Santa Barbara,2020/21,Total,44723.0,12.83,Female,White,21-32
Santa Barbara,2021/22,Total,46481.0,3.93,Female,White,21-32
Santa Barbara,2022/23,Total,52010.0,11.9,Female,White,21-32
Santa Clara,2019/20,Total,83496.0,,Female,Hispanic,21-32
